0	1	0.007	0.017	0.000	0.000	0.001	0.230	0.000	0.000	0.003	0.000	0.001	0.009	0.000	0.000	0.000	0.000	0.002	0.063	0.000	0.008	0.000	0.000	0.000	0.000	0.000	0.010	0.000	0.010	0.000	0.000	0.427	0.045	0.166
1	10	0.001	0.000	0.000	0.000	0.158	0.000	0.033	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.046	0.000	0.489	0.081	0.000	0.000	0.000	0.000	0.005	0.000	0.000	0.078	0.000	0.031	0.000	0.000	0.000	0.000	0.078
2	100	0.000	0.000	0.000	0.000	0.000	0.004	0.000	0.000	0.000	0.000	0.000	0.086	0.000	0.000	0.000	0.000	0.000	0.025	0.000	0.000	0.000	0.000	0.001	0.000	0.000	0.001	0.000	0.000	0.000	0.000	0.784	0.049	0.050
3	1000	0.007	0.001	0.000	0.000	0.000	0.531	0.000	0.000	0.000	0.000	0.000	0.041	0.000	0.000	0.000	0.000	0.000	0.024	0.000	0.009	0.000	0.000	0.000	0.000	0.000	0.007	0.020	0.002	0.000	0.000	0.255	0.042	0.060
4	1001	0.000	0.000	0.000	0.000	0.000	0.132	0.000	0.000	0.000	0.000	0.000	0.026	0.000	0.000	0.000	0.000	0.001	0.051	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.001	0.000	0.002	0.000	0.000	0.670	0.000	0.116
5	1002	0.000	0.000	0.000	0.000	0.000	0.024	0.000	0.002	0.000	0.000	0.001	0.113	0.000	0.000	0.000	0.000	0.067	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.057	0.000	0.000	0.000	0.728	0.000	0.008
6	1003	0.000	0.005	0.000	0.000	0.000	0.495	0.000	0.000	0.000	0.000	0.006	0.205	0.000	0.000	0.000	0.000	0.000	0.073	0.000	0.041	0.000	0.000	0.000	0.001	0.000	0.001	0.000	0.000	0.000	0.000	0.120	0.018	0.034
7	1004	0.000	0.000	0.000	0.000	0.000	0.676	0.004	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.006	0.167	0.002	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.002	0.000	0.000	0.072	0.026	0.044
8	1005	0.000	0.000	0.000	0.000	0.074	0.000	0.000	0.001	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.106	0.817	0.000	0.000	0.000	0.000	0.001	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
9	1006	0.000	0.000	0.000	0.000	0.074	0.000	0.000	0.001	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.106	0.817	0.000	0.000	0.000	0.000	0.001	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
