0	5926.86561	657228.41310
1	8015.51309	780150.72559
2	5483.68413	616293.32918
3	6205.05571	798279.31397
4	6704.32169	754977.40616
5	9312.31889	811593.07142
6	11891.54660	861528.64428
7	6915.86873	687288.35968
8	14602.68976	1038543.27492
9	11476.06905	696544.59840
10	5872.61308	628278.50389
11	7211.90416	732233.74207
12	12973.78505	985794.30174
13	6698.17447	648639.58913
14	8225.51111	694540.31489
15	6782.77630	738721.02009
16	7283.46559	850940.53212
17	9613.20709	859371.03922
18	12556.34281	736117.41288
19	8586.28708	682253.06459
