0	1	0.167	0.010	0.110	0.198	0.041	0.093	0.064	0.154	0.034	0.037	0.092
1	10	0.001	0.026	0.001	0.004	0.000	0.010	0.007	0.011	0.623	0.004	0.313
2	100	0.164	0.050	0.016	0.340	0.035	0.072	0.020	0.156	0.010	0.138	0.000
3	1000	0.200	0.000	0.061	0.094	0.061	0.289	0.134	0.027	0.075	0.032	0.027
4	1001	0.347	0.004	0.098	0.073	0.016	0.017	0.074	0.036	0.213	0.122	0.001
5	1002	0.035	0.000	0.008	0.000	0.001	0.118	0.342	0.002	0.414	0.079	0.000
6	1003	0.361	0.015	0.161	0.008	0.005	0.047	0.032	0.076	0.004	0.284	0.007
7	1004	0.345	0.000	0.024	0.001	0.066	0.000	0.271	0.269	0.015	0.004	0.005
8	1005	0.057	0.004	0.005	0.000	0.011	0.001	0.000	0.048	0.351	0.000	0.524
9	1006	0.048	0.004	0.006	0.000	0.011	0.001	0.000	0.048	0.354	0.000	0.529
10	1007	0.111	0.001	0.063	0.006	0.013	0.115	0.152	0.022	0.166	0.135	0.217
11	1008	0.106	0.001	0.044	0.019	0.007	0.272	0.112	0.033	0.139	0.110	0.158
12	1009	0.164	0.003	0.229	0.007	0.137	0.251	0.038	0.000	0.039	0.125	0.007
13	101	0.025	0.006	0.167	0.164	0.110	0.038	0.273	0.207	0.006	0.003	0.001
14	1010	0.176	0.006	0.182	0.058	0.046	0.097	0.077	0.029	0.216	0.103	0.011
15	1011	0.124	0.001	0.125	0.075	0.032	0.138	0.144	0.025	0.056	0.144	0.137
16	1012	0.057	0.006	0.093	0.244	0.156	0.008	0.152	0.002	0.177	0.090	0.015
17	1013	0.225	0.002	0.020	0.257	0.071	0.004	0.074	0.076	0.008	0.172	0.091
18	1014	0.013	0.035	0.000	0.000	0.000	0.000	0.022	0.520	0.297	0.000	0.112
19	1015	0.469	0.069	0.097	0.162	0.023	0.100	0.004	0.001	0.002	0.024	0.047
20	1016	0.373	0.002	0.054	0.007	0.094	0.000	0.113	0.105	0.068	0.008	0.176
21	1017	0.021	0.013	0.133	0.023	0.127	0.146	0.370	0.116	0.021	0.031	0.000
22	1018	0.184	0.002	0.111	0.029	0.001	0.154	0.026	0.304	0.131	0.030	0.026
23	1019	0.209	0.001	0.219	0.068	0.000	0.000	0.007	0.325	0.001	0.169	0.000
24	102	0.258	0.000	0.109	0.083	0.033	0.048	0.084	0.011	0.058	0.231	0.084
25	1020	0.129	0.000	0.060	0.185	0.008	0.198	0.149	0.026	0.070	0.060	0.115
26	1021	0.213	0.000	0.066	0.183	0.001	0.006	0.133	0.019	0.209	0.114	0.057
27	1022	0.251	0.016	0.346	0.008	0.027	0.050	0.133	0.023	0.056	0.067	0.022
28	1023	0.064	0.001	0.137	0.169	0.002	0.010	0.236	0.044	0.101	0.116	0.121
29	1024	0.013	0.015	0.010	0.210	0.010	0.407	0.049	0.001	0.001	0.000	0.284
30	1025	0.179	0.002	0.068	0.397	0.014	0.033	0.214	0.009	0.005	0.049	0.029
31	1026	0.227	0.000	0.014	0.014	0.001	0.269	0.125	0.008	0.004	0.195	0.143
32	1027	0.065	0.004	0.036	0.261	0.012	0.000	0.000	0.616	0.000	0.000	0.006
33	1028	0.097	0.000	0.078	0.209	0.004	0.120	0.170	0.034	0.013	0.175	0.101
34	1029	0.001	0.071	0.007	0.050	0.039	0.286	0.000	0.269	0.000	0.276	0.000
35	103	0.170	0.000	0.038	0.184	0.008	0.036	0.104	0.084	0.131	0.102	0.141
36	1030	0.085	0.046	0.166	0.000	0.001	0.000	0.014	0.357	0.301	0.030	0.000
37	1031	0.048	0.052	0.001	0.244	0.000	0.000	0.036	0.546	0.001	0.047	0.024
38	1032	0.152	0.001	0.005	0.191	0.033	0.145	0.215	0.028	0.090	0.134	0.007
39	1033	0.443	0.003	0.028	0.165	0.012	0.067	0.050	0.064	0.002	0.074	0.093
40	1034	0.139	0.002	0.137	0.112	0.061	0.035	0.275	0.016	0.100	0.121	0.002
41	1035	0.304	0.000	0.062	0.111	0.011	0.084	0.115	0.010	0.081	0.126	0.096
42	1036	0.151	0.000	0.031	0.139	0.005	0.114	0.167	0.016	0.095	0.166	0.115
43	1037	0.345	0.001	0.028	0.185	0.003	0.186	0.072	0.016	0.008	0.144	0.011
44	1038	0.153	0.000	0.063	0.137	0.001	0.104	0.123	0.048	0.066	0.204	0.102
45	1039	0.057	0.013	0.105	0.063	0.236	0.027	0.001	0.043	0.024	0.007	0.424
46	104	0.079	0.013	0.011	0.379	0.034	0.004	0.127	0.066	0.018	0.226	0.044
47	1040	0.146	0.005	0.019	0.236	0.000	0.206	0.045	0.234	0.041	0.056	0.009
48	1041	0.306	0.000	0.058	0.124	0.003	0.079	0.124	0.010	0.216	0.078	0.002
49	1042	0.238	0.000	0.121	0.045	0.002	0.010	0.097	0.029	0.274	0.077	0.107
50	1043	0.022	0.007	0.373	0.010	0.011	0.007	0.034	0.096	0.129	0.282	0.028
51	1044	0.226	0.006	0.001	0.006	0.009	0.413	0.137	0.025	0.018	0.125	0.036
52	1045	0.120	0.015	0.019	0.091	0.000	0.000	0.122	0.334	0.025	0.002	0.273
53	1046	0.000	0.002	0.595	0.017	0.273	0.001	0.000	0.000	0.000	0.000	0.112
