0	1	0.000	0.221	0.022	0.025	0.001	0.008	0.000	0.000	0.363	0.022	0.000	0.000	0.006	0.253	0.016	0.000	0.000	0.029	0.007	0.001	0.000	0.024
1	10	0.157	0.000	0.000	0.001	0.133	0.000	0.000	0.000	0.645	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.064	0.000	0.001	0.000
2	100	0.001	0.884	0.001	0.000	0.000	0.000	0.003	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.039	0.000	0.000	0.000	0.029	0.000	0.002	0.038
3	1000	0.000	0.184	0.046	0.000	0.000	0.000	0.000	0.000	0.472	0.001	0.000	0.000	0.000	0.266	0.000	0.000	0.000	0.003	0.001	0.000	0.000	0.027
4	1001	0.013	0.227	0.000	0.044	0.000	0.000	0.000	0.000	0.673	0.002	0.000	0.000	0.000	0.002	0.007	0.000	0.000	0.000	0.008	0.000	0.000	0.023
5	1002	0.017	0.000	0.366	0.047	0.000	0.000	0.000	0.000	0.467	0.001	0.001	0.000	0.000	0.000	0.000	0.000	0.000	0.023	0.000	0.000	0.000	0.077
6	1003	0.001	0.006	0.086	0.038	0.000	0.000	0.000	0.000	0.182	0.017	0.000	0.000	0.000	0.648	0.001	0.000	0.000	0.000	0.017	0.000	0.000	0.004
7	1004	0.000	0.732	0.003	0.001	0.000	0.002	0.000	0.000	0.089	0.000	0.000	0.000	0.000	0.051	0.000	0.000	0.000	0.001	0.000	0.000	0.001	0.120
8	1005	0.000	0.564	0.206	0.014	0.074	0.000	0.000	0.000	0.000	0.005	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.084	0.019	0.000	0.000	0.033
9	1006	0.000	0.573	0.200	0.012	0.074	0.000	0.000	0.000	0.000	0.005	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.082	0.018	0.000	0.000	0.034
10	1007	0.000	0.258	0.001	0.000	0.028	0.000	0.000	0.000	0.064	0.000	0.000	0.001	0.000	0.544	0.015	0.000	0.000	0.033	0.003	0.000	0.000	0.054
11	1008	0.000	0.082	0.062	0.001	0.031	0.000	0.000	0.000	0.010	0.001	0.000	0.000	0.000	0.686	0.014	0.000	0.000	0.022	0.015	0.000	0.000	0.074
12	1009	0.000	0.430	0.235	0.000	0.000	0.002	0.000	0.000	0.000	0.000	0.018	0.033	0.000	0.111	0.073	0.000	0.000	0.098	0.000	0.000	0.000	0.000
13	101	0.000	0.061	0.000	0.000	0.000	0.001	0.000	0.000	0.727	0.013	0.001	0.000	0.000	0.116	0.001	0.000	0.000	0.077	0.002	0.000	0.000	0.000
14	1010	0.001	0.009	0.135	0.000	0.000	0.001	0.000	0.000	0.774	0.002	0.000	0.001	0.000	0.037	0.001	0.000	0.000	0.003	0.002	0.000	0.000	0.033
15	1011	0.000	0.070	0.000	0.000	0.027	0.000	0.000	0.000	0.667	0.002	0.000	0.000	0.000	0.193	0.001	0.000	0.000	0.001	0.001	0.000	0.000	0.038
16	1012	0.024	0.146	0.013	0.000	0.000	0.000	0.000	0.000	0.024	0.000	0.000	0.000	0.000	0.681	0.013	0.000	0.000	0.000	0.000	0.000	0.000	0.098
17	1013	0.000	0.245	0.032	0.000	0.000	0.000	0.000	0.000	0.114	0.000	0.000	0.000	0.000	0.576	0.000	0.000	0.000	0.011	0.000	0.018	0.000	0.003
18	1014	0.000	0.314	0.000	0.530	0.000	0.000	0.000	0.000	0.000	0.047	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.105	0.000	0.000	0.000	0.004
19	1015	0.000	0.000	0.000	0.000	0.000	0.098	0.000	0.000	0.000	0.272	0.000	0.021	0.000	0.437	0.021	0.000	0.000	0.000	0.150	0.000	0.000	0.000
20	1016	0.000	0.361	0.000	0.069	0.000	0.000	0.000	0.000	0.018	0.000	0.002	0.000	0.000	0.333	0.005	0.000	0.000	0.198	0.013	0.000	0.000	0.000
21	1017	0.010	0.009	0.000	0.002	0.000	0.000	0.000	0.000	0.977	0.001	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.001	0.000
22	1018	0.000	0.151	0.189	0.004	0.000	0.000	0.000	0.000	0.000	0.015	0.000	0.000	0.000	0.630	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.010
23	1019	0.000	0.651	0.000	0.029	0.000	0.000	0.005	0.000	0.000	0.025	0.000	0.000	0.000	0.068	0.000	0.000	0.000	0.000	0.017	0.000	0.000	0.205
24	102	0.000	0.147	0.020	0.004	0.021	0.000	0.000	0.000	0.596	0.000	0.000	0.000	0.000	0.183	0.000	0.000	0.000	0.005	0.000	0.000	0.000	0.023
25	1020	0.000	0.156	0.053	0.000	0.020	0.000	0.000	0.000	0.524	0.000	0.000	0.000	0.000	0.239	0.000	0.000	0.000	0.001	0.000	0.000	0.000	0.005
26	1021	0.000	0.173	0.023	0.014	0.008	0.000	0.000	0.000	0.658	0.000	0.006	0.000	0.000	0.067	0.000	0.000	0.000	0.030	0.000	0.015	0.000	0.007
27	1022	0.000	0.379	0.000	0.003	0.000	0.003	0.000	0.000	0.501	0.001	0.000	0.001	0.000	0.000	0.040	0.000	0.000	0.002	0.005	0.001	0.000	0.064
28	1023	0.000	0.186	0.009	0.000	0.022	0.000	0.000	0.000	0.626	0.001	0.000	0.000	0.000	0.132	0.002	0.000	0.000	0.000	0.000	0.000	0.000	0.021
